Translate the French verb 'accepter' into English.,to accept
Translate the French verb 'adorer' into English.,to adore
Translate the French verb 'annuler' into English.,to cancel
Translate the French verb 'apporter' into English.,to bring
Translate the French verb 'bavarder' into English.,to chat
Translate the French verb 'casser' into English.,to break
Translate the French verb 'chercher' into English.,to look for
Translate the French verb 'commander' into English.,to order
Translate the French verb 'couper' into English.,to cut
Translate the French verb 'demander' into English.,to ask
Translate the French verb 'dessiner' into English.,to draw
Translate the French verb 'écouter' into English.,to listen to
Translate the French verb 'emprunter' into English.,to borrow
Translate the French verb 'fermer' into English.,to close
Translate the French verb 'gagner' into English.,to win (or to earn)
Translate the French verb 'garder' into English.,to keep
Translate the French verb 'goûter' into English.,to taste
Translate the French verb 'montrer' into English.,to show
Translate the French verb 'oublier' into English.,to forget
Translate the French verb 'porter' into English.,to wear (or to carry)
Translate the French verb 'prêter' into English.,to lend
Translate the French verb 'regarder' into English.,to watch
Translate the French verb 'rencontrer' into English.,to meet by chance
Translate the French verb 'rester' into English.,to stay (or to remain)
Translate the French verb 'rêver' into English.,to dream
Translate the French verb 'tomber' into English.,to fall
Translate the French verb 'trouver' into English.,to find
What is the standard ending for a first-group French verb in the 'nous' form?,-ons
What is the standard ending for a first-group French verb in the 'vous' form?,-ez
What is the standard ending for a first-group French verb in the 'ils/elles' form?,-ent
Conjugate the verb 'être' for the pronoun 'je'.,suis
Conjugate the verb 'être' for the pronoun 'tu'.,es
Conjugate the verb 'être' for the pronoun 'il/elle'.,est
Conjugate the verb 'être' for the pronoun 'nous'.,sommes
Conjugate the verb 'être' for the pronoun 'vous'.,êtes
Conjugate the verb 'être' for the pronoun 'ils/elles'.,sont
Conjugate the verb 'avoir' for the pronoun 'je'.,ai
Conjugate the verb 'avoir' for the pronoun 'tu'.,as
Conjugate the verb 'avoir' for the pronoun 'il/elle'.,a
Conjugate the verb 'avoir' for the pronoun 'nous'.,avons
Conjugate the verb 'avoir' for the pronoun 'vous'.,avez
Conjugate the verb 'avoir' for the pronoun 'ils/elles'.,ont
What is the feminine singular form of the nationality 'Indien'?,Indienne
